Element,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Isotopes,27Al,46Ti,48Ti,56Fe,89Y,90Zr,139La,140Ce,165Ho,177Hf+178Hf+179Hf+180Hf,206Pb+207Pb+208Pb,232Th,238U
Sensitivity (TofCts/g),8.93E+15,3.99E+15,5.39E+16,1.17E+17,3.01E+17,1.70E+17,5.47E+17,5.35E+17,2.76E+17,2.67E+17,3.00E+17,2.55E+17,2.83E+17
MedianSignal (TofCts),NaN,1.41E+01,NaN,3.60E+01,NaN,7.99E+01,NaN,NaN,NaN,7.78E+00,NaN,NaN,NaN
Avg Lc (TofCts),8.02,11.97,7.29,18.43,6.2,4.5,5.57,5.52,5.3,3.97,5.46,4.46,4.66
Avg Bkgd (TofCts),0.09,0.963,0.034,4.331,0.04,0.09,0.008,0.006,0.01,0.027,0.026,0,0.003
DynamicAlpha,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,3.20E-05,1.00E-07,1.00E-07,1.00E-07,1.00E-05,1.00E-07,1.00E-07,1.00E-07
Filename,00h03m02s_Zr_ENG 75Kx.h5,,,,,,,,,,,,
spTime (s),120.226,,,,,,,,,,,,
qPlasma (mL/s),0.000063,,,,,,,,,,,,
,,,,,,,,,,,,,
Particle Signals (TofCts),,,,,,,,,,,,,
Comp,Al,46Ti,48Ti,Fe,Y,Zr,La,Ce,Ho,Hf,Pb,Th,U
Zr,0,0,0,0,0,162.302,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,497.525,0,0,0,24.665,0,0,0
Zr,0,0,0,0,0,40.28,0,0,0,0,0,0,0
Zr,0,0,0,0,0,63.459,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,60.186,0,0,0,6.91,0,0,0
Zr,0,0,0,0,0,154.393,0,0,0,0,0,0,0
Zr,0,0,0,0,0,28.949,0,0,0,0,0,0,0
Hf,0,0,0,0,0,0,0,0,0,7.262,0,0,0
Zr+Hf,0,0,0,0,0,555.845,0,0,0,22.581,0,0,0
Zr,0,0,0,0,0,161.35,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,137.474,0,0,0,6.855,0,0,0
Zr,0,0,0,0,0,65.699,0,0,0,0,0,0,0
Zr,0,0,0,0,0,19.915,0,0,0,0,0,0,0
Zr,0,0,0,0,0,8.978,0,0,0,0,0,0,0
Zr,0,0,0,0,0,40.768,0,0,0,0,0,0,0
Zr,0,0,0,0,0,12.129,0,0,0,0,0,0,0
Zr,0,0,0,0,0,55.422,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,157.546,0,0,0,5.157,0,0,0
Zr+Hf,0,0,0,0,0,382.061,0,0,0,9.779,0,0,0
Zr,0,0,0,0,0,27.82,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,392.584,0,0,0,18.851,0,0,0
Zr,0,0,0,0,0,20.848,0,0,0,0,0,0,0
Zr,0,0,0,0,0,180.836,0,0,0,0,0,0,0
Zr,0,0,0,0,0,19.74,0,0,0,0,0,0,0
Zr,0,0,0,0,0,23.324,0,0,0,0,0,0,0
Zr,0,0,0,0,0,13.124,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,142.872,0,0,0,5.892,0,0,0
Zr,0,0,0,0,0,48.007,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,262.382,0,0,0,10.564,0,0,0
Hf,0,0,0,0,0,0,0,0,0,4.324,0,0,0
Zr+Hf,0,0,0,0,0,794.409,0,0,0,26.6,0,0,0
Zr,0,0,0,0,0,47.959,0,0,0,0,0,0,0
Zr,0,0,0,0,0,24.179,0,0,0,0,0,0,0
Zr,0,0,0,0,0,9.553,0,0,0,0,0,0,0
Zr,0,0,0,0,0,96.826,0,0,0,0,0,0,0
Zr,0,0,0,0,0,95.553,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,251.356,0,0,0,7.67,0,0,0
Zr+Hf,0,0,0,0,0,436.668,0,0,0,10.992,0,0,0
Hf,0,0,0,0,0,0,0,0,0,4.618,0,0,0
Zr+Hf,0,0,0,0,0,97.534,0,0,0,4.637,0,0,0
Zr,0,0,0,0,0,19.818,0,0,0,0,0,0,0
Zr,0,0,0,0,0,19.43,0,0,0,0,0,0,0
Zr+Hf,0,0,0,0,0,656.443,0,0,0,18.353,0,0,0
Zr,0,0,0,0,0,163.548,0,0,0,0,0,0,0
